Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
Green Eggs and Ham,Dr. Seuss,Childrens,Picture Books,Fiction,Classics,Poetry,Fantasy,Humor,green eggs and ham dr seuss childrens picture books fiction classics poetry fantasy humor
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,Fantasy,Fiction,Young Adult,Magic,Childrens,Middle Grade,Audiobook,harry potter and the prisoner of azkaban harry potter  jk rowling fantasy fiction young adult magic childrens middle grade audiobook
Wuthering Heights,Emily Brontë,Classics,Fiction,Romance,Gothic,Historical Fiction,Literature,19th Century,wuthering heights emily bront classics fiction romance gothic historical fiction literature th century
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,Classics,Fantasy,Fiction,Childrens,Young Adult,Literature,Adventure,alices adventures in wonderland  through the lookingglass lewis carroll classics fantasy fiction childrens young adult literature adventure
The Picture of Dorian Gray,Oscar Wilde,Classics,Fiction,Horror,Fantasy,Gothic,Literature,Novels,the picture of dorian gray oscar wilde classics fiction horror fantasy gothic literature novels
"Night  (The Night Trilogy, #1)",Elie Wiesel,Nonfiction,Classics,History,Memoir,Holocaust,Biography,School,night  the night trilogy  elie wiesel nonfiction classics history memoir holocaust biography school
Gone with the Wind,Margaret Mitchell,Classics,Historical Fiction,Fiction,Romance,Historical,War,Literature,gone with the wind margaret mitchell classics historical fiction fiction romance historical war literature
The Holy Bible: King James Version,Anonymous,Religion,Classics,Nonfiction,Christian,Philosophy,History,Christianity,the holy bible king james version anonymous religion classics nonfiction christian philosophy history christianity
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,Fantasy,Young Adult,Fiction,Magic,Childrens,Middle Grade,Audiobook,harry potter and the goblet of fire harry potter  jk rowling fantasy young adult fiction magic childrens middle grade audiobook
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,Science Fiction,Fiction,Humor,Classics,Fantasy,Comedy,Science Fiction Fantasy,the hitchhikers guide to the galaxy the hitchhikers guide to the galaxy  douglas adams science fiction fiction humor classics fantasy comedy science fiction fantasy
Hamlet,William Shakespeare,Classics,Plays,Fiction,Drama,School,Literature,Theatre,hamlet william shakespeare classics plays fiction drama school literature theatre
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,Fantasy,Young Adult,Fiction,Magic,Childrens,Adventure,Audiobook,harry potter and the halfblood prince harry potter  jk rowling fantasy young adult fiction magic childrens adventure audiobook
The Adventures of Huckleberry Finn,Mark Twain,Classics,Fiction,Historical Fiction,Literature,Young Adult,Adventure,School,the adventures of huckleberry finn mark twain classics fiction historical fiction literature young adult adventure school
Tolkien On Fairy-stories,J.R.R. Tolkien,Fantasy,Classics,Essays,Fiction,Fairy Tales,Literary Criticism,Writing,tolkien on fairystories jrr tolkien fantasy classics essays fiction fairy tales literary criticism writing
Les Misérables,Victor Hugo,Classics,Fiction,Historical Fiction,Literature,France,Historical,Novels,les misrables victor hugo classics fiction historical fiction literature france historical novels
The Alchemist,Paulo Coelho,Fiction,Classics,Fantasy,Philosophy,Novels,Spirituality,Self Help,the alchemist paulo coelho fiction classics fantasy philosophy novels spirituality self help
Brave New World / Brave New World Revisited,Aldous Huxley,Classics,Fiction,Science Fiction,Dystopia,Literature,Novels,Fantasy,brave new world  brave new world revisited aldous huxley classics fiction science fiction dystopia literature novels fantasy
Crime and Punishment,Fyodor Dostoevsky,Classics,Fiction,Russia,Literature,Russian Literature,Philosophy,Novels,crime and punishment fyodor dostoevsky classics fiction russia literature russian literature philosophy novels
The Help,Kathryn Stockett,Fiction,Historical Fiction,Historical,Adult,Adult Fiction,Classics,Contemporary,the help kathryn stockett fiction historical fiction historical adult adult fiction classics contemporary
The Secret Garden,Frances Hodgson Burnett,Classics,Fiction,Childrens,Young Adult,Historical Fiction,Middle Grade,Fantasy,the secret garden frances hodgson burnett classics fiction childrens young adult historical fiction middle grade fantasy
Memoirs of a Geisha,Arthur Golden,Fiction,Historical Fiction,Romance,Historical,Classics,Japan,Adult,memoirs of a geisha arthur golden fiction historical fiction romance historical classics japan adult
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,Fantasy,Classics,Fiction,Young Adult,Childrens,Middle Grade,Adventure,the lion the witch and the wardrobe chronicles of narnia  cs lewis fantasy classics fiction young adult childrens middle grade adventure
The Odyssey,Homer,Classics,Fiction,Poetry,Mythology,Fantasy,School,Literature,the odyssey homer classics fiction poetry mythology fantasy school literature
A Christmas Carol,Charles Dickens,Classics,Fiction,Christmas,Fantasy,Audiobook,Literature,Historical Fiction,a christmas carol charles dickens classics fiction christmas fantasy audiobook literature historical fiction
"The Cat in the Hat (The Cat in the Hat, #1)",Dr. Seuss,Childrens,Picture Books,Classics,Fiction,Poetry,Fantasy,Humor,the cat in the hat the cat in the hat  dr seuss childrens picture books classics fiction poetry fantasy humor
The Outsiders,S.E. Hinton,Classics,Young Adult,Fiction,School,Read For School,Realistic Fiction,Coming Of Age,the outsiders se hinton classics young adult fiction school read for school realistic fiction coming of age
One Hundred Years of Solitude,Gabriel García Márquez,Fiction,Classics,Magical Realism,Literature,Fantasy,Novels,Historical Fiction,one hundred years of solitude gabriel garca mrquez fiction classics magical realism literature fantasy novels historical fiction
The Grapes of Wrath,John Steinbeck,Classics,Fiction,Historical Fiction,Literature,Novels,School,American,the grapes of wrath john steinbeck classics fiction historical fiction literature novels school american
A Thousand Splendid Suns,Khaled Hosseini,Fiction,Historical Fiction,Contemporary,Historical,Novels,War,Classics,a thousand splendid suns khaled hosseini fiction historical fiction contemporary historical novels war classics
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,Classics,Fiction,Young Adult,Historical Fiction,Childrens,Middle Grade,Audiobook,anne of green gables anne of green gables  lm montgomery classics fiction young adult historical fiction childrens middle grade audiobook
Where the Sidewalk Ends,Shel Silverstein,Poetry,Childrens,Classics,Fiction,Humor,Young Adult,Picture Books,where the sidewalk ends shel silverstein poetry childrens classics fiction humor young adult picture books
The Count of Monte Cristo,Alexandre Dumas,Classics,Fiction,Historical Fiction,Adventure,Literature,France,Historical,the count of monte cristo alexandre dumas classics fiction historical fiction adventure literature france historical
"Ender's Game (Ender's Saga, #1)",Orson Scott Card,Science Fiction,Young Adult,Fantasy,Classics,Science Fiction Fantasy,Dystopia,War,enders game enders saga  orson scott card science fiction young adult fantasy classics science fiction fantasy dystopia war
Where the Wild Things Are,Maurice Sendak,Childrens,Picture Books,Fiction,Classics,Fantasy,Adventure,Young Adult,where the wild things are maurice sendak childrens picture books fiction classics fantasy adventure young adult
The Color Purple,Alice Walker,Classics,Fiction,Historical Fiction,Feminism,LGBT,Historical,African American,the color purple alice walker classics fiction historical fiction feminism lgbt historical african american
A Tale of Two Cities,Charles Dickens,Classics,Fiction,Historical Fiction,Literature,Historical,Novels,School,a tale of two cities charles dickens classics fiction historical fiction literature historical novels school
The Adventures of Tom Sawyer,Mark Twain,Classics,Fiction,Adventure,Historical Fiction,Young Adult,Literature,Childrens,the adventures of tom sawyer mark twain classics fiction adventure historical fiction young adult literature childrens
Life of Pi,Yann Martel,Fiction,Fantasy,Classics,Adventure,Contemporary,Magical Realism,Novels,life of pi yann martel fiction fantasy classics adventure contemporary magical realism novels
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,Fiction,Classics,Dystopia,Science Fiction,Feminism,Fantasy,Adult,the handmaids tale the handmaids tale  margaret atwood fiction classics dystopia science fiction feminism fantasy adult
One Flew Over the Cuckoo's Nest,Ken Kesey,Classics,Fiction,Psychology,Literature,Novels,Mental Health,School,one flew over the cuckoos nest ken kesey classics fiction psychology literature novels mental health school
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,Classics,Fiction,Horror,Science Fiction,Gothic,Fantasy,School,frankenstein the  text mary wollstonecraft shelley classics fiction horror science fiction gothic fantasy school
Flowers for Algernon,Daniel Keyes,Fiction,Classics,Science Fiction,Young Adult,Psychology,Literature,School,flowers for algernon daniel keyes fiction classics science fiction young adult psychology literature school
"Oh, the Places You'll Go!",Dr. Seuss,Childrens,Picture Books,Fiction,Classics,Poetry,Fantasy,Young Adult,oh the places youll go dr seuss childrens picture books fiction classics poetry fantasy young adult
Anna Karenina,Leo Tolstoy,Classics,Fiction,Romance,Russia,Historical Fiction,Russian Literature,Literature,anna karenina leo tolstoy classics fiction romance russia historical fiction russian literature literature
Tuesdays with Morrie,Mitch Albom,Nonfiction,Memoir,Biography,Classics,Inspirational,Philosophy,Self Help,tuesdays with morrie mitch albom nonfiction memoir biography classics inspirational philosophy self help
Winnie-the-Pooh (Winnie-the-Pooh #1),A.A. Milne,Classics,Childrens,Fiction,Fantasy,Animals,Middle Grade,Audiobook,winniethepooh winniethepooh  aa milne classics childrens fiction fantasy animals middle grade audiobook
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,Fantasy,Classics,Fiction,Adventure,High Fantasy,Science Fiction Fantasy,Epic Fantasy,the fellowship of the ring the lord of the rings  jrr tolkien fantasy classics fiction adventure high fantasy science fiction fantasy epic fantasy
Slaughterhouse-Five,Kurt Vonnegut Jr.,Classics,Fiction,Science Fiction,War,Historical Fiction,Literature,Novels,slaughterhousefive kurt vonnegut jr classics fiction science fiction war historical fiction literature novels
The Old Man and the Sea,Ernest Hemingway,Classics,Fiction,Literature,Novels,American,School,Adventure,the old man and the sea ernest hemingway classics fiction literature novels american school adventure
Catch-22,Joseph Heller,Classics,Fiction,Historical Fiction,War,Humor,Literature,Novels,catch joseph heller classics fiction historical fiction war humor literature novels
The Scarlet Letter,Nathaniel Hawthorne,Classics,Fiction,Historical Fiction,School,Literature,High School,Historical,the scarlet letter nathaniel hawthorne classics fiction historical fiction school literature high school historical
Macbeth,William Shakespeare,Classics,Plays,Fiction,School,Drama,Read For School,Literature,macbeth william shakespeare classics plays fiction school drama read for school literature
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,Fantasy,Young Adult,Romance,Fiction,Vampires,Paranormal,Paranormal Romance,twilight the twilight saga  stephenie meyer fantasy young adult romance fiction vampires paranormal paranormal romance
Lolita,Vladimir Nabokov,Classics,Fiction,Literature,Novels,Russia,Romance,Russian Literature,lolita vladimir nabokov classics fiction literature novels russia romance russian literature
The Metamorphosis,Franz Kafka,Classics,Fiction,Fantasy,Philosophy,Literature,Short Stories,School,the metamorphosis franz kafka classics fiction fantasy philosophy literature short stories school
The Time Traveler's Wife,Audrey Niffenegger,Fiction,Romance,Fantasy,Time Travel,Science Fiction,Contemporary,Adult,the time travelers wife audrey niffenegger fiction romance fantasy time travel science fiction contemporary adult
Siddhartha,Hermann Hesse,Classics,Fiction,Philosophy,Spirituality,Religion,Literature,Buddhism,siddhartha hermann hesse classics fiction philosophy spirituality religion literature buddhism
The Stranger,Albert Camus,Classics,Fiction,Philosophy,France,Literature,Novels,French Literature,the stranger albert camus classics fiction philosophy france literature novels french literature
Goodnight Moon,Margaret Wise Brown,Childrens,Picture Books,Classics,Fiction,Poetry,Kids,Animals,goodnight moon margaret wise brown childrens picture books classics fiction poetry kids animals
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,Fantasy,Fiction,Young Adult,Magic,Childrens,Middle Grade,Audiobook,harry potter and the chamber of secrets harry potter  jk rowling fantasy fiction young adult magic childrens middle grade audiobook
A Tree Grows in Brooklyn,Betty  Smith,Classics,Fiction,Historical Fiction,Young Adult,Coming Of Age,Historical,New York,a tree grows in brooklyn betty  smith classics fiction historical fiction young adult coming of age historical new york
War and Peace,Leo Tolstoy,Classics,Fiction,Historical Fiction,Russia,Russian Literature,Literature,War,war and peace leo tolstoy classics fiction historical fiction russia russian literature literature war
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,Classics,Historical Fiction,Childrens,Fiction,Young Adult,Historical,Middle Grade,the little house collection little house  laura ingalls wilder classics historical fiction childrens fiction young adult historical middle grade
A Clockwork Orange,Anthony Burgess,Classics,Fiction,Science Fiction,Dystopia,Literature,Horror,Novels,a clockwork orange anthony burgess classics fiction science fiction dystopia literature horror novels
All Quiet on the Western Front,Erich Maria Remarque,Classics,Fiction,Historical Fiction,War,Historical,Literature,School,all quiet on the western front erich maria remarque classics fiction historical fiction war historical literature school
The Stand,Stephen King,Horror,Fiction,Fantasy,Science Fiction,Post Apocalyptic,Thriller,Dystopia,the stand stephen king horror fiction fantasy science fiction post apocalyptic thriller dystopia
Don Quixote,Miguel de Cervantes Saavedra,Classics,Fiction,Literature,Spanish Literature,Adventure,Historical Fiction,Novels,don quixote miguel de cervantes saavedra classics fiction literature spanish literature adventure historical fiction novels
Uncle Tom's Cabin,Harriet Beecher Stowe,Classics,Fiction,Historical Fiction,Literature,Historical,American,Novels,uncle toms cabin harriet beecher stowe classics fiction historical fiction literature historical american novels
القرآن الكريم,Anonymous,Religion,Islam,Nonfiction,Classics,Philosophy,Reference,Spirituality,  anonymous religion islam nonfiction classics philosophy reference spirituality
Atlas Shrugged,Ayn Rand,Fiction,Classics,Philosophy,Politics,Literature,Science Fiction,Novels,atlas shrugged ayn rand fiction classics philosophy politics literature science fiction novels
The Brothers Karamazov,Fyodor Dostoevsky,Classics,Fiction,Russia,Literature,Russian Literature,Philosophy,Novels,the brothers karamazov fyodor dostoevsky classics fiction russia literature russian literature philosophy novels
The Poisonwood Bible,Barbara Kingsolver,Fiction,Historical Fiction,Africa,Classics,Historical,Literary Fiction,Literature,the poisonwood bible barbara kingsolver fiction historical fiction africa classics historical literary fiction literature
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,Nonfiction,Classics,Memoir,Biography,Autobiography,Poetry,Feminism,i know why the caged bird sings maya angelous autobiography  maya angelou nonfiction classics memoir biography autobiography poetry feminism
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,Religion,Nonfiction,Lds,Church,Spirituality,Classics,History,the book of mormon another testament of jesus christ joseph smith jr religion nonfiction lds church spirituality classics history
"Moby-Dick or, the Whale",Herman Melville,Classics,Fiction,Literature,Adventure,Historical Fiction,Novels,American,mobydick or the whale herman melville classics fiction literature adventure historical fiction novels american
"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,Fiction,Mystery,Thriller,Mystery Thriller,Historical Fiction,Suspense,Adventure,the da vinci code robert langdon  dan brown fiction mystery thriller mystery thriller historical fiction suspense adventure
Great Expectations,Charles Dickens,Classics,Fiction,Literature,Historical Fiction,School,Novels,19th Century,great expectations charles dickens classics fiction literature historical fiction school novels th century
"The Good Earth (House of Earth, #1)",Pearl S. Buck,Classics,Fiction,Historical Fiction,China,Literature,Historical,Asia,the good earth house of earth  pearl s buck classics fiction historical fiction china literature historical asia
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,Nonfiction,Biography,History,Christian,Memoir,Classics,Holocaust,the hiding place the triumphant true story of corrie ten boom corrie ten boom nonfiction biography history christian memoir classics holocaust
Dracula,Bram Stoker,Classics,Horror,Fiction,Fantasy,Vampires,Gothic,Paranormal,dracula bram stoker classics horror fiction fantasy vampires gothic paranormal
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,Fantasy,Fiction,Classics,Young Adult,Science Fiction,Childrens,Middle Grade,a wrinkle in time time quintet  madeleine lengle fantasy fiction classics young adult science fiction childrens middle grade
The Fault in Our Stars,John Green,Young Adult,Romance,Fiction,Contemporary,Realistic Fiction,Teen,Coming Of Age,the fault in our stars john green young adult romance fiction contemporary realistic fiction teen coming of age
Matilda,Roald Dahl,Childrens,Fiction,Classics,Fantasy,Middle Grade,Young Adult,Humor,matilda roald dahl childrens fiction classics fantasy middle grade young adult humor
The Perks of Being a Wallflower,Stephen Chbosky,Young Adult,Fiction,Contemporary,Classics,Mental Health,Realistic Fiction,LGBT,the perks of being a wallflower stephen chbosky young adult fiction contemporary classics mental health realistic fiction lgbt
Brave New World,Aldous Huxley,Classics,Fiction,Science Fiction,Dystopia,Literature,Novels,School,brave new world aldous huxley classics fiction science fiction dystopia literature novels school
Sense and Sensibility,Jane Austen,Classics,Fiction,Romance,Historical Fiction,Literature,Historical,Audiobook,sense and sensibility jane austen classics fiction romance historical fiction literature historical audiobook
The Princess Bride,William Goldman,Fantasy,Classics,Fiction,Romance,Humor,Young Adult,Adventure,the princess bride william goldman fantasy classics fiction romance humor young adult adventure
The Iliad,Homer,Classics,Poetry,Fiction,Mythology,Literature,Fantasy,Historical Fiction,the iliad homer classics poetry fiction mythology literature fantasy historical fiction
East of Eden,John Steinbeck,Classics,Fiction,Historical Fiction,Literature,Novels,American,Literary Fiction,east of eden john steinbeck classics fiction historical fiction literature novels american literary fiction
Where the Red Fern Grows,Wilson Rawls,Classics,Fiction,Young Adult,Childrens,Historical Fiction,Middle Grade,Animals,where the red fern grows wilson rawls classics fiction young adult childrens historical fiction middle grade animals
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,Classics,Horror,Fiction,Short Stories,Poetry,Mystery,Literature,the telltale heart and other writings edgar allan poe classics horror fiction short stories poetry mystery literature
Man's Search for Meaning,Viktor E. Frankl,Nonfiction,Psychology,Philosophy,History,Self Help,Memoir,Biography,mans search for meaning viktor e frankl nonfiction psychology philosophy history self help memoir biography
The Lorax,Dr. Seuss,Childrens,Picture Books,Fiction,Classics,Poetry,Fantasy,Environment,the lorax dr seuss childrens picture books fiction classics poetry fantasy environment
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,Young Adult,Dystopia,Fiction,Fantasy,Science Fiction,Romance,Adventure,catching fire the hunger games  suzanne collins young adult dystopia fiction fantasy science fiction romance adventure
The Curious Incident of the Dog in the Night-Time,Mark Haddon,Fiction,Mystery,Young Adult,Contemporary,Classics,Novels,Autistic Spectrum Disorder,the curious incident of the dog in the nighttime mark haddon fiction mystery young adult contemporary classics novels autistic spectrum disorder
The Declaration of Independence / The Constitution of the United States,Founding Fathers,History,Nonfiction,Politics,Classics,Philosophy,Reference,American History,the declaration of independence  the constitution of the united states founding fathers history nonfiction politics classics philosophy reference american history
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,Fantasy,Fiction,Epic Fantasy,Adult,High Fantasy,Science Fiction Fantasy,Adventure,a game of thrones a song of ice and fire  george rr martin fantasy fiction epic fantasy adult high fantasy science fiction fantasy adventure
"Watership Down (Watership Down, #1)",Richard  Adams,Classics,Fiction,Fantasy,Young Adult,Animals,Childrens,Adventure,watership down watership down  richard  adams classics fiction fantasy young adult animals childrens adventure
The Bell Jar,Sylvia Plath,Classics,Fiction,Feminism,Mental Health,Psychology,Literature,Mental Illness,the bell jar sylvia plath classics fiction feminism mental health psychology literature mental illness
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,Childrens,Fiction,Fantasy,Classics,Young Adult,Middle Grade,Humor,charlie and the chocolate factory charlie bucket  roald dahl childrens fiction fantasy classics young adult middle grade humor
The Last Lecture,Randy Pausch,Nonfiction,Memoir,Biography,Self Help,Inspirational,Philosophy,Autobiography,the last lecture randy pausch nonfiction memoir biography self help inspirational philosophy autobiography
Rebecca,Daphne du Maurier,Classics,Fiction,Mystery,Gothic,Romance,Historical Fiction,Thriller,rebecca daphne du maurier classics fiction mystery gothic romance historical fiction thriller
The Velveteen Rabbit,Margery Williams Bianco,Classics,Childrens,Fiction,Picture Books,Fantasy,Animals,Young Adult,the velveteen rabbit margery williams bianco classics childrens fiction picture books fantasy animals young adult
"Dune (Dune, #1)",Frank Herbert,Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Audiobook,Space Opera,dune dune  frank herbert science fiction fiction fantasy classics science fiction fantasy audiobook space opera
And Then There Were None,Agatha Christie,Classics,Fiction,Crime,Thriller,Mystery Thriller,Audiobook,Mystery,and then there were none agatha christie classics fiction crime thriller mystery thriller audiobook mystery
The Fountainhead,Ayn Rand,Fiction,Classics,Philosophy,Literature,Novels,Politics,Architecture,the fountainhead ayn rand fiction classics philosophy literature novels politics architecture
The Lovely Bones,Alice Sebold,Fiction,Mystery,Young Adult,Contemporary,Fantasy,Crime,Thriller,the lovely bones alice sebold fiction mystery young adult contemporary fantasy crime thriller
Alice in Wonderland,Jane Carruth,Classics,Fantasy,Fiction,Childrens,Young Adult,Adventure,Literature,alice in wonderland jane carruth classics fantasy fiction childrens young adult adventure literature
The Call of the Wild,Jack London,Classics,Fiction,Adventure,Young Adult,Animals,Historical Fiction,Literature,the call of the wild jack london classics fiction adventure young adult animals historical fiction literature
"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,Fiction,Mystery,Thriller,Crime,Mystery Thriller,Suspense,Contemporary,the girl with the dragon tattoo millennium  stieg larsson fiction mystery thriller crime mystery thriller suspense contemporary
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,Fantasy,Fiction,Classics,Adventure,High Fantasy,Science Fiction Fantasy,Epic Fantasy,the return of the king the lord of the rings  jrr tolkien fantasy fiction classics adventure high fantasy science fiction fantasy epic fantasy
The Five People You Meet in Heaven,Mitch Albom,Fiction,Inspirational,Contemporary,Fantasy,Classics,Spirituality,Adult,the five people you meet in heaven mitch albom fiction inspirational contemporary fantasy classics spirituality adult
Animal Farm / 1984,George Orwell,Classics,Fiction,Dystopia,Literature,Science Fiction,Politics,Fantasy,animal farm   george orwell classics fiction dystopia literature science fiction politics fantasy
Perfume: The Story of a Murderer,Patrick Süskind,Fiction,Classics,Historical Fiction,Horror,Mystery,Thriller,Crime,perfume the story of a murderer patrick sskind fiction classics historical fiction horror mystery thriller crime
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,Nonfiction,Memoir,Biography,Classics,Ireland,Autobiography,Biography Memoir,angelas ashes frank mccourt  frank mccourt nonfiction memoir biography classics ireland autobiography biography memoir
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,Classics,Fantasy,Fiction,Childrens,Young Adult,Adventure,Middle Grade,the wonderful wizard of oz oz  l frank baum classics fantasy fiction childrens young adult adventure middle grade
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,Fantasy,Fiction,Classics,Adventure,High Fantasy,Science Fiction Fantasy,Epic Fantasy,the two towers the lord of the rings  jrr tolkien fantasy fiction classics adventure high fantasy science fiction fantasy epic fantasy
Love You Forever,Robert Munsch,Picture Books,Childrens,Fiction,Classics,Family,Love,Kids,love you forever robert munsch picture books childrens fiction classics family love kids
Bridge to Terabithia,Katherine Paterson,Fiction,Young Adult,Classics,Fantasy,Childrens,Middle Grade,Realistic Fiction,bridge to terabithia katherine paterson fiction young adult classics fantasy childrens middle grade realistic fiction
A Prayer for Owen Meany,John Irving,Fiction,Classics,Contemporary,Literature,Literary Fiction,Novels,Historical Fiction,a prayer for owen meany john irving fiction classics contemporary literature literary fiction novels historical fiction
The Road,Cormac McCarthy,Fiction,Science Fiction,Dystopia,Post Apocalyptic,Classics,Horror,Literature,the road cormac mccarthy fiction science fiction dystopia post apocalyptic classics horror literature
